Romsey-Monegeetta North,3434,4,5,4,13,3.603807797,0.307692308,0.384615385,0.307692308
Holmesglen-Chadstone-Jordanville,3148,3,5,4,12,9.295486511,0.25,0.416666667,0.333333333
Koo Wee Rup,3981,5,3,4,12,5.208822149,0.416666667,0.25,0.333333333
Woodend-Ashbourne-Hesket,3442,4,4,3,11,3.449714842,0.363636364,0.363636364,0.272727273
Borlands-Bullarto+South,3461,8,2,1,11,2.908447142,0.727272727,0.181818182,0.090909091
Tallarook,3659,6,5,0,11,4.562737643,0.545454545,0.454545455,0
Thornton-Rubicon,3712,4,4,3,11,5.263157895,0.363636364,0.363636364,0.272727273
Sassafras+South,3787,4,7,0,11,1.484716157,0.363636364,0.636363636,0
Monbulk,3793,4,4,3,11,3.18287037,0.363636364,0.363636364,0.272727273
Dromana,3936,3,3,5,11,5.413800754,0.272727273,0.272727273,0.454545455
Clyde,3978,3,5,3,11,11.33004926,0.272727273,0.454545455,0.272727273
Laverton North,3026,2,3,5,10,567.032967,0.2,0.3,0.5
Somerton,3062,2,5,3,10,#VALUE!,0.2,0.5,0.3
Wonga Park,3115,5,4,1,10,1.72188886,0.5,0.4,0.1
The Basin,3154,0,3,7,10,3.807046583,0,0.3,0.7
Greendale-Korobeit,3341,7,1,2,10,1.773981603,0.7,0.1,0.2
Alexandra-Archeron-Taggerty,3714,8,1,1,10,3.78578024,0.8,0.1,0.1
Menzies Creek-Selby,3159,3,1,5,9,2.526233968,0.333333333,0.111111111,0.555555556
Ballan-Beremboke-Blakeville,3342,4,2,3,9,4.864,0.444444444,0.222222222,0.333333333
Diggers Rest,3427,4,1,4,9,4.923076923,0.444444444,0.111111111,0.444444444
Mount Evelyn-Kalorama-McKillop,3796,2,6,1,9,2.592276509,0.222222222,0.666666667,0.111111111
Narre Warren North+East,3804,3,3,3,9,3.430787589,0.333333333,0.333333333,0.333333333
Riddells Creek,3431,5,1,2,8,2.398081535,0.625,0.125,0.25
Kallista,3791,4,3,1,8,1.477199743,0.5,0.375,0.125
McCrae,3938,3,1,4,8,3.224537947,0.375,0.125,0.5
Heatherton,3202,2,2,3,7,3.829479769,0.285714286,0.285714286,0.428571429
Trentham-Barrys Reef,3458,2,3,2,7,4.14235706,0.285714286,0.428571429,0.285714286
Seymour-Trawool,3660,4,1,2,7,13.07630089,0.571428571,0.142857143,0.285714286
Cockatoo-Nangana,3781,3,1,3,7,2.863636364,0.428571429,0.142857143,0.428571429
Olinda,3788,2,3,2,7,6.133493686,0.285714286,0.428571429,0.285714286
Yarrambat,3091,4,1,1,6,2.450331126,0.666666667,0.166666667,0.166666667
Lower Plenty,3093,3,3,0,6,2.749867795,0.5,0.5,0
Portarlington-Indented Head,3223,2,2,2,6,4.248114514,0.333333333,0.333333333,0.333333333
New Gisbourne,3438,1,1,4,6,2.18487395,0.166666667,0.166666667,0.666666667
Beaconsfield,3807,1,2,3,6,4.167893962,0.166666667,0.333333333,0.5
Officer,3809,1,2,3,6,15.90005679,0.166666667,0.333333333,0.5
Bass,3991,0,3,3,6,11.83574879,0,0.5,0.5
Plenty,3090,3,0,2,5,2.81892021,0.6,0,0.4
Wattle Glen,3096,4,0,1,5,2.415210689,0.8,0,0.2
Frankston North,3200,3,1,1,5,10.78919303,0.6,0.2,0.2
Lancefield,3435,4,1,0,5,2.43902439,0.8,0.2,0
Kalorama,3766,2,2,1,5,2.152317881,0.4,0.4,0.2
Ferny Creek,3786,0,3,2,5,3.32247557,0,0.6,0.4
Tyabb,3913,0,3,2,5,6.47307925,0,0.6,0.4
Balnarringg,3926,3,2,0,5,0,0.6,0.4,0
Flinders,3929,1,1,3,5,9.186046512,0.2,0.2,0.6
Moorooduc,3933,1,3,1,5,4.474708171,0.2,0.6,0.2
Macedon,3440,1,3,0,4,3.594420601,0.25,0.75,0
Molesworth,3718,0,1,3,4,#VALUE!,0,0.25,0.75
Mount Dandenong,3767,2,1,1,4,2.344381568,0.5,0.25,0.25
Merricks-Shoreham,3916,2,1,1,4,7.167235495,0.5,0.25,0.25
Bittern,3918,1,3,0,4,3.108348135,0.25,0.75,0
Mount Macedon,3441,1,2,0,3,1.892505678,0.333333333,0.666666667,0
Smiths Gully,3760,2,0,1,3,0,0.666666667,0,0.333333333
Marysville,3779,1,2,0,3,18.83408072,0.333333333,0.666666667,0
Tremont,3785,1,1,1,3,#VALUE!,0.333333333,0.333333333,0.333333333
The Patch,3792,2,0,1,3,1.83044316,0.666666667,0,0.333333333
Garfield,3814,1,0,2,3,2.554744526,0.333333333,0,0.666666667
Drouin+South+West-Jindivick,3818,2,0,1,3,4.781206055,0.666666667,0,0.333333333
Noojee-Loch Valley-Tanjil Bren,3833,0,1,2,3,11.9873817,0,0.333333333,0.666666667
Somers,3927,0,3,0,3,2.522775053,0,1,0
Tooradin,3980,3,0,0,3,4.54248366,1,0,0
Clarkefield,3430,0,1,1,2,3.233256351,0,0.5,0.5
Wandongg,3758,0,2,0,2,4.299065421,0,1,0
HMAS Cerebus,3920,1,0,1,2,1.105990783,0.5,0,0.5
Leongatha-Hallston-Trida-Ruby,3953,1,1,0,2,5.15039143,0.5,0.5,0
Ardeer,3022,1,0,0,1,20.43924903,1,0,0
Kangaroo Ground-Watsons Creek,3097,0,1,0,1,2.548262548,0,1,0
null,3213,1,0,0,1,#VALUE!,1,0,0
Yea-Flowerdale-Glenburn,3717,1,0,0,1,3.840361446,1,0,0
Woodstock,3751,0,1,0,1,5.637982196,0,1,0
Yan Yean,3755,0,0,1,1,5.016722408,0,0,1
St Andrews-Mittons Bridge,3761,1,0,0,1,2.021089631,1,0,0
Narbethong,3778,0,0,1,1,1.265822785,0,0,1
Gembrook,3783,1,0,0,1,4.32759423,1,0,0
Sherbrooke,3789,0,1,0,1,3.358208955,0,1,0
Beaconsfield Upper,3808,0,1,0,1,4.568357407,0,1,0
Nar Nar Goon-Maryknoll,3812,1,0,0,1,3.261348612,1,0,0
Tynong,3813,0,0,1,1,1.990950226,0,0,1
Longwarry+South+North,3816,0,0,1,1,4.76673428,0,0,1
Main Ridge,3928,0,0,1,1,0.426439232,0,0,1
Meeniyan-Tarwin-Meadows,3956,0,1,0,1,5.232295895,0,1,0
Nyora,3987,0,1,0,1,2.702702703,0,1,0
Oaklands Junction-Yuroke,3063,0,0,0,0,2.798232695,#DIV/0!,#DIV/0!,#DIV/0!
Deakin University,3217,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
Bulla,3428,0,0,0,0,8.9093702,#DIV/0!,#DIV/0!,#DIV/0!
