name, yr2011_12, pfi, postcode,population,averageAge,unemploymentRate,averageIncomeWeekly,eduPrimary,eduSecondary,eduTertiery,CrimeTweetCount,PoliceReportLoged,population loged,incomeLoged,tweetCountLoged
Melton-Kurunjang-Toolern Vale,3446,205408080,3337,31873,32,7,559,29.6,22,14.4,91,11.75070699,14.9600472,9.126704473,4.700439718
Melton South-Exford,1285,205408523,3338,15803,33,7.5,529,26.7,21.1,14.4,65,10.32755264,13.94791084,9.047123912,5.672425342
Bacchus Marsh-Darley-Balliang,1060,205407665,3340,17995,38,4.6,559,30.5,26.1,14.7,40,10.04984855,14.13530848,9.126704473,3.321928095
Greendale-Korobeit,27,205408493,3341,1522,40,4,597,34.7,27.5,16.8,10,4.754887502,10.57175264,9.221587121,3
Ballan-Beremboke-Blakeville,152,205407781,3342,3125,41,4.4,479,30.7,26.6,12.8,8,7.247927513,11.60964047,8.903881846,1.584962501
Diggers Rest,112,205408379,3427,2275,39,4.8,565,25.1,24.1,19.4,9,6.807354922,11.15165083,9.142107057,2.807354922
Bulla,58,205409055,3428,651,42,6.1,583,30.5,20.2,12.8,0,5.857980995,9.346513733,9.187352073,#NUM!
Sunbury-Goonawarra,1794,205407856,3429,34575,36,4.3,631,29.5,25.4,17.7,505,10.80896417,15.07744163,9.301496195,4.95419631
Clarkefield,14,205408164,3430,433,43,2.6,562,29.1,23.9,12.8,2,3.807354922,8.758223215,9.13442632,0
Riddells Creek,90,205408332,3431,3753,39,2.7,674,33.5,26.1,20.1,8,6.491853096,11.87382857,9.396604781,1.584962501
Bolinda,2,205409263,3432,null,null,null,null,null,null,null,0,1,#VALUE!,#VALUE!,#NUM!
Monegeeta,9,205409328,3433,321,37,3.6,729,27.6,31,11.2,0,3.169925001,8.326429487,9.509775004,#NUM!
Romsey-Monegeetta North,159,205408237,3434,4412,38,3.8,589,35.5,27.7,12.5,13,7.312882955,12.10721708,9.202123824,3
Lancefield,66,205407881,3435,2706,43,4.1,549,29.4,23.1,12.9,4,6.044394119,11.40194612,9.100662339,0
